#time	velocity	altitude
0	0	38969
2	18.6	38948
5	51.9	38827
8	79.7	38635
10	101.1	38439
12	119.4	38233
15	147.2	37842
17	170	37471
19	186.1	37175
21	208.1	36715
23	224.4	36274
25	240.6	35797
27	256.7	35306
30	281.4	34487
32	298.9	33919
33	307.5	33661
34	312.8	33340
36	326.1	32676
38	336.7	32002
40	350	31326
42	356.9	30642
44	361.4	29884
46	365.8	29183
48	372.2	28448
50	376.4	27710
52	370.6	26883
54	365	26250
56	363.1	25454
58	350.3	24746
60	332.2	24112
62	306.7	23413
64	293.3	22857
66	275.8	22307
68	265.8	21729
70	254.7	21268
72	236.1	20752
74	228.3	20247
76	223.1	19840
78	211.7	19406
80	201.7	19026
82	191.7	18587
84	184.7	18117
86	179.7	17852
88	174.2	17527
90	169.7	17131
92	164.4	16853
94	157.8	16496
96	152.2	16188
98	146.1	15991
100	138.9	15725
102	134.7	15324
104	130.6	15096
106	126.9	14811
108	124.2	14581
110	122.2	14328
112	118.6	14077
114	115.3	13838
116	111.9	13609
118	109.4	13412
120	107.2	13179
122	104.2	12958
124	103.3	12756
126	103.9	12547
128	104.2	12353
130	104.2	12137
132	103.6	11928
134	103.1	11712
136	101.9	11513
138	100.3	11314
140	99.7	11104
142	99.4	10912
144	100.3	10706
146	98.6	10526
148	97.5	10308
150	96.4	10124
152	94.2	9926
154	91.4	9744
156	89.4	9569
158	86.9	9389
160	86.7	9210
162	85.6	9040
164	82.8	8872
166	81.4	8705
168	80.6	8533
170	79.4	8393
172	80.3	8232
174	80.3	8055
176	80.3	7915
178	80.3	7747
180	79.2	7589
182	78.3	7432
184	77.5	7273
186	77.5	7112
188	77.5	6966
190	75.3	6811
192	73.6	6665
194	71.9	6513
196	70.6	6378
198	66.9	6218
200	63.6	6112
202	61.4	5996
204	61.9	5839
206	61.1	5745
208	62.2	5609
210	61.4	5501
212	61.1	5356
214	61.7	5245
216	61.4	5120
218	61.4	4997
220	60.8	4876
222	60.6	4752
224	60.6	4634
226	60.3	4509
228	59.7	4388
230	59.2	4273
232	58.9	4149
234	59.7	4033
236	59.4	3915
238	59.7	3796
240	58.3	3667
242	58.3	3570
244	57.8	3441
246	56.9	3330
248	56.7	3213
250	56.4	3101
252	55.3	2989
254	56.4	2882
256	56.4	2767
258	56.4	2651
